user_id,country,device,language,age_group,signup_date
d1a10472-b145-4e37-8e2f-fb09dd8640ea,France,web,Chinese,25-34,2025-09-13
0d044152-4e85-42c2-b2af-2ad08bb98503,Mexico,ios,Russian,45+,2025-11-19
569f0fb4-7d2d-430b-97b9-723cb66886b8,Spain,web,Korean,45+,2025-11-30
bf82553b-18cb-448e-b1e6-45a292ba2e46,UK,android,Spanish,<18,2025-08-31
c633081f-6993-4bcb-b4c4-85b0c3817a8b,France,ios,German,18-24,2025-10-29
959d4a22-d640-4ae8-9a84-e5a07b975b89,Philippines,web,Japanese,25-34,2025-11-02
5690e2a7-d39a-424f-a09e-94fa2baea307,Brazil,web,Hindi,45+,2025-11-05
8cec0b90-b2a0-455f-911d-f873916e2ba1,France,ios,Portuguese,18-24,2025-11-16
27163b15-0ab5-4064-8bc3-31ae818d649a,Spain,web,Russian,45+,2025-08-31
9f05b65c-7bcd-4d65-a5db-cf2c86872112,UK,web,Russian,45+,2025-11-20
720d6601-426a-48cc-87a3-800c354cb9a8,Mexico,android,Spanish,18-24,2025-09-08
ac3da9a8-091c-468f-8b39-1ece1cb5bc36,Spain,android,Japanese,<18,2025-08-31
8f09c763-4ec4-46e5-a1e0-2dfe1e0f4bd8,Spain,android,Portuguese,25-34,2025-08-11
eb051539-be50-4b4b-ba00-6197ed08fae0,Brazil,android,German,18-24,2025-09-25
ccc6a0ef-695d-48b6-96d3-2cebc1499781,Germany,android,French,18-24,2025-11-22
22ecf4bc-955e-4c45-8891-74fde0a48bd0,UK,android,French,45+,2025-09-19
3e1e89b7-89df-47cb-ac3a-9016b980b3a2,United States,ios,Russian,18-24,2025-10-10
b0ba1d08-859b-4a3b-8c9c-fef107a960ac,Spain,android,Japanese,25-34,2025-11-29
21d2b5c3-c22a-49a1-9f0c-2071dd64f7d6,Germany,web,Spanish,<18,2025-11-30
23d22621-e411-4648-bab4-8a5100fdc64e,United States,ios,Russian,<18,2025-11-22
dd191e49-14f1-4bb3-9d5d-1be0fc4db37e,UK,web,French,<18,2025-11-06
99ed815a-311c-44b9-8bb7-f3a907deec4e,India,android,Russian,25-34,2025-11-04
8007e194-d394-4eb2-8fb0-835ea86fc42f,Philippines,android,French,45+,2025-09-30
9af4b668-c5b9-41da-910d-9e61a6073ddc,Germany,web,Japanese,25-34,2025-09-17
077affac-b595-4d22-ad47-9bca4040ceac,Indonesia,web,Japanese,18-24,2025-11-30
f5c41794-50c5-484e-be2c-63d2959a8e3e,India,web,Spanish,35-44,2025-09-23
d0f5b9a8-88c6-4a62-96c2-9db5f5c6bbb5,Philippines,ios,Hindi,35-44,2025-11-08
82cbe59d-f028-4c38-9c54-76ef20610d01,Brazil,android,Hindi,35-44,2025-09-03
bc3ee45e-0817-41f0-a516-3b6e98735b35,France,web,Russian,<18,2025-09-11
511650c1-d69d-4605-ba55-ebd9a52354d0,Mexico,android,Russian,25-34,2025-09-05
f3c0449e-a187-45a0-a9d4-02d5ad3ec78e,Indonesia,web,Russian,25-34,2025-09-25
9aca1aac-ace3-4d8b-9d36-11ef67683db6,Brazil,android,Spanish,<18,2025-10-11
458f3f02-64b8-4d1e-b12c-a9895ac19226,UK,ios,Chinese,18-24,2025-11-05
75e64ab8-2be3-4291-9d63-e8c5d69c11f6,Brazil,android,Russian,35-44,2025-10-07
73d5e923-cae7-413f-834e-bd8fc97e5dc4,France,web,Hindi,35-44,2025-09-19
8daa2c6a-1fa7-4dbe-9344-fd7563b7587b,UK,android,Hindi,<18,2025-10-29
82fddf8d-78b2-4d3f-a969-fb8f48761602,Indonesia,ios,Portuguese,35-44,2025-08-22
